year,#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
2022-23,122,Talen Horton-Tucker,UTA,65,20.2,10.7,4.0,9.4,41.9,0.9,3.1,28.6,1.9,2.6,75.0,0.6,2.6,3.2,3.8,0.6,0.4,1.9, 10.8
2022-23,123,Grayson Allen,MIL,72,27.4,10.4,3.4,7.7,44.0,2.0,5.1,39.9,1.6,1.8,90.5,0.8,2.4,3.3,2.3,0.9,0.2,1.0, 11.5
2022-23,124,Killian Hayes,DET,76,28.3,10.3,4.0,10.7,37.7,1.1,3.8,28.0,1.2,1.5,82.1,0.4,2.5,2.9,6.2,1.4,0.4,2.3, 11.9
2022-23,125,Tyus Jones,MEM,80,24.2,10.3,3.9,8.9,43.8,1.5,4.1,37.1,1.0,1.3,80.0,0.4,2.2,2.5,5.2,1.0,0.1,0.9, 13.0
2022-23,126,Monte Morris,WAS,62,27.4,10.3,4.0,8.3,48.0,1.3,3.3,38.2,1.0,1.2,83.1,0.4,3.0,3.4,5.3,0.7,0.2,1.0, 14.3
2022-23,127,Doug McDermott,SAS,64,20.5,10.2,3.7,8.2,45.7,1.9,4.7,41.3,0.8,1.1,75.7,0.4,1.8,2.2,1.4,0.2,0.1,0.9, 8.5
2022-23,128,Malaki Branham,SAS,66,23.5,10.2,4.1,9.3,44.0,1.2,3.9,30.2,0.9,1.1,82.9,0.4,2.3,2.7,1.9,0.5,0.1,1.2, 9.0
2022-23,129,Reggie Jackson,DEN,68,24.4,10.2,3.9,9.4,41.1,1.4,4.2,33.3,1.0,1.1,91.0,0.4,1.8,2.1,3.4,0.7,0.1,1.7, 9.2
2022-23,130,Patrick Williams,CHI,82,28.3,10.2,3.8,8.3,46.4,1.4,3.4,41.5,1.1,1.3,85.7,1.0,3.0,4.0,1.2,0.9,0.9,1.2, 11.3
2022-23,131,De'Anthony Melton,PHI,77,27.9,10.1,3.6,8.5,42.5,2.0,5.2,39.0,0.9,1.1,79.3,0.9,3.2,4.1,2.6,1.6,0.5,1.3, 12.5
